tag,MM,loc_tag,Q1,Q2,Q3,Q4,most_occurrence,RT,Dictyota,BT,C,Caulerpa
A163,April,SBW_APR,MEH,RT,RT,RT,RT,3,0,0,1,0
A164,April,SBW_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A165,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A166,April,SBW_APR,MEH,RT,MEH,RT,MEH,2,0,0,2,0
A167,April,SBW_APR,MEH,RT,MEH,MEH,MEH,1,0,0,3,0
A168,April,SBW_APR,MEH,Dictyota,MEH,MEH,MEH,0,1,0,3,0
A169,April,SBW_APR,RT,RT,RT,Dictyota,RT,3,1,0,0,0
A170,April,SBW_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A171,April,SBW_APR,Flesh,RT,RT,RT,RT,3,0,0,0,0
A172,April,SBW_APR,RT,MEH,Flesh,RT,RT,2,0,0,1,0
A173,April,SBW_APR,RT,Dictyota,Flesh,RT,RT,2,1,0,0,0
A174,April,SBW_APR,Dictyota,Flesh,RT,RT,RT,2,1,0,0,0
A175,April,SBW_APR,Flesh,RT,RT,RT,RT,3,0,0,0,0
A176,April,SBW_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A177,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A178,April,SBW_APR,Flesh,Dictyota,RT,Dictyota,Dictyota,1,2,0,0,0
A179,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A180,April,SBW_APR,Flesh,RT,Flesh,RT,Flesh,2,0,0,0,0
A181,April,SBW_APR,Flesh,Flesh,Dictyota,Flesh,Flesh,0,1,0,0,0
A182,April,SBW_APR,RT,MEH,MEH,MEH,MEH,1,0,0,3,0
A183,April,SBW_APR,RT,RT,Dictyota,RT,RT,3,1,0,0,0
A184,April,SBW_APR,MEH,ACA,RT,ACA,ACA,1,0,0,1,0
A185,April,SBW_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A186,April,SBW_APR,RT,Dictyota,MEH,RT,RT,2,1,0,1,0
A187,April,SBW_APR,Flesh,Flesh,ACA,Flesh,Flesh,0,0,0,0,0
A188,April,SBW_APR,RT,RT,ACA,NA,RT,2,0,0,0,0
A189,April,SBW_APR,Dictyota,Dictyota,RT,RT,Dictyota,2,2,0,0,0
A190,April,SBW_APR,RT,MEH,RT,MEH,RT,2,0,0,2,0
A191,April,SBW_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A192,April,SBW_APR,RT,GOH,RT,RT,RT,3,0,0,1,0
A193,April,SBW_APR,Flesh,RT,RT,RT,RT,3,0,0,0,0
A194,April,SBW_APR,RT,RT,RT,MEH,RT,3,0,0,1,0
A195,April,SBW_APR,RT,RT,ANH,ANH,RT,2,0,0,2,0
A196,April,SBW_APR,Flesh,RT,RT,RT,RT,3,0,0,0,0
A197,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A198,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A199,April,SBW_APR,RT,ABH,RT,RT,RT,3,0,0,1,0
A200,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A201,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A202,April,SBW_APR,OBBH,MPH,NA,MPH,MPH,0,0,0,3,0
A203,April,SBW_APR,MEH,MPH,MEH,MEH,MEH,0,0,0,4,0
A204,April,SBW_APR,MEH,MPH,MEH,MEH,MEH,0,0,0,4,0
A205,April,SBW_APR,MPH,MPH,MEH,MEH,MPH,0,0,0,4,0
A206,April,SBW_APR,MEH,MPH,MEH,MEH,MEH,0,0,0,4,0
A207,April,SBW_APR,MEH,MEH,MEH,MPH,MEH,0,0,0,4,0
A208,April,SBW_APR,MEH,MEH,MEH,MPH,MEH,0,0,0,4,0
A209,April,SBW_APR,MEH,Dictyota,MEH,RT,MEH,1,1,0,2,0
A210,April,SBW_APR,Dictyota,Dictyota,Dictyota,MEH,Dictyota,0,3,0,1,0
A211,April,SBW_APR,R,Flesh,Leath,Flesh,Flesh,0,0,0,0,0
A212,April,SBW_APR,Flesh,RT,RT,Flesh,Flesh,2,0,0,0,0
A213,April,SBW_APR,Dictyota,Dictyota,R,OBBH,Dictyota,0,2,0,1,0
A214,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A215,April,SBW_APR,RT,RT,ABH,RT,RT,3,0,0,1,0
A216,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A217,April,SBW_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A218,April,SBW_APR,RT,Dictyota,RT,RT,RT,3,1,0,0,0
A219,April,SBW_APR,Urchin,RT,RT,RT,RT,3,0,0,0,0
A220,April,SBW_APR,RT,MEH,RT,RT,RT,3,0,0,1,0
A221,April,SBW_APR,MEH,MEH,MEH,MEH,MEH,0,0,0,4,0
A222,April,SBW_APR,Flesh,Flesh,RT,RT,Flesh,2,0,0,0,0
A223,April,CB_APR,Flesh,OBBH,PLH,OBBH,OBBH,0,0,0,3,0
A224,April,CB_APR,Dictyota,Dictyota,MEH,Dictyota,Dictyota,0,3,0,1,0
A225,April,CB_APR,Dictyota,RT,RT,RT,RT,3,1,0,0,0
A226,April,CB_APR,RT,OBBH,RT,MEH,RT,2,0,0,2,0
A227,April,CB_APR,Dictyota,MEH,MEH,MEH,MEH,0,1,0,3,0
A228,April,CB_APR,ACA,Flesh,RT,RT,RT,2,0,0,0,0
A229,April,CB_APR,RT,RT,Flesh,RT,RT,3,0,0,0,0
A230,April,CB_APR,Dictyota,Dictyota,GOH,PLH,Dictyota,0,2,0,2,0
A231,April,CB_APR,ANH,RT,RT,RT,RT,3,0,0,1,0
A232,April,CB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A233,April,CB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A234,April,CB_APR,R,R,RT,Flesh,R,1,0,0,0,0
A235,April,CB_APR,RT,NA,RT,RT,RT,3,0,0,0,0
A236,April,CB_APR,MEH,RT,Flesh,RT,RT,2,0,0,1,0
A237,April,CB_APR,MEH,MEH,RT,MEH,MEH,1,0,0,3,0
A238,April,CB_APR,R,RT,RT,Flesh,RT,2,0,0,0,0
A239,April,CB_APR,Flesh,ACA,Flesh,Flesh,Flesh,0,0,0,0,0
A240,April,CB_APR,MEH,MEH,RT,RT,MEH,2,0,0,2,0
A241,April,CB_APR,Flesh,MEH,R,MEH,MEH,0,0,0,2,0
A242,April,CB_APR,R,R,RT,R,R,1,0,0,0,0
A243,April,CB_APR,Flesh,OBBH,NA,MEH,,0,0,0,2,0
A244,April,CB_APR,MEH,MEH,MEH,MEH,MEH,0,0,0,4,0
A245,April,CB_APR,Dictyota,Flesh,RT,RT,RT,2,1,0,0,0
A246,April,CB_APR,R,Dictyota,RT,RT,RT,2,1,0,0,0
A247,April,CB_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A248,April,CB_APR,Flesh,Dictyota,Urchin,Ascd,,0,1,0,0,0
A249,April,CB_APR,Dictyota,Dictyota,S,Flesh,Dictyota,0,2,0,0,0
A250,April,CB_APR,RT,RT,GT,Urchin,RT,2,0,0,0,0
A251,April,CB_APR,RT,Dictyota,RT,RT,RT,3,1,0,0,0
A252,April,CB_APR,RT,MEH,RT,Flesh,RT,2,0,0,1,0
A253,April,CB_APR,Flesh,OBBH,RT,MEH,,1,0,0,2,0
A254,April,CB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A255,April,CB_APR,ACH,MEH,MEH,MEH,MEH,0,0,0,4,0
A256,April,CB_APR,Dictyota,Dictyota,S,S,Dictyota,0,2,0,0,0
A257,April,CB_APR,MEH,MEH,S,MEH,MEH,0,0,0,3,0
A258,April,CB_APR,RT,OBBH,RT,RT,RT,3,0,0,1,0
A259,April,CB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A260,April,CB_APR,RT,R,Dictyota,RT,RT,2,1,0,0,0
A261,April,CB_APR,Flesh,Flesh,RT,RT,Flesh,2,0,0,0,0
A262,April,CB_APR,MEH,MEH,MEH,MEH,MEH,0,0,0,4,0
A263,April,CB_APR,MEH,MEH,RT,MEH,MEH,1,0,0,3,0
A264,April,CB_APR,Dictyota,DIctyota,MEH,MEH,Dictyota,0,2,0,2,0
A265,April,CB_APR,Dictyota,ACA,ACA,RT,ACA,1,1,0,0,0
A266,April,CB_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A267,April,CB_APR,R,Dictyota,RT,RT,RT,2,1,0,0,0
A268,April,CB_APR,GOH,ACA,Flesh,Flesh,Flesh,0,0,0,1,0
A269,April,CB_APR,Flesh,Ascd,Flesh,Ascd,Flesh,0,0,0,0,0
A270,April,CB_APR,Flesh,OBBH,Flesh,Flesh,Flesh,0,0,0,1,0
A271,April,CB_APR,Flesh,RT,R,S,,1,0,0,0,0
A272,April,CB_APR,Dictyota,Flesh,Flesh,Flesh,Flesh,0,1,0,0,0
A273,April,CB_APR,Flesh,OBBH,Flesh,Dictyota,Flesh,0,1,0,1,0
A274,April,CB_APR,RT,Dictyota,RT,OBBH,RT,2,1,0,1,0
A275,April,CB_APR,Flesh,Flesh,Flesh,MEH,Flesh,0,0,0,1,0
A276,April,CB_APR,Flesh,Flesh,Flesh,RT,Flesh,1,0,0,0,0
A277,April,CB_APR,Flesh,Flesh,R,R,Flesh,0,0,0,0,0
A278,April,CB_APR,Flesh,PLH,Flesh,Flesh,Flesh,0,0,0,1,0
A279,April,CB_APR,Flesh,Flesh,Caulerpa,RT,Flesh,1,0,0,0,1
A280,April,CB_APR,Flesh,Flesh,Flesh,RT,Flesh,1,0,0,0,0
A281,April,CB_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A282,April,CB_APR,Dictyota,Dictyota,Flesh,Dictyota,Dictyota,0,3,0,0,0
A283,April,CB_APR,Flesh,Flesh,Dictyota,Flesh,Flesh,0,1,0,0,0
A284,April,CB_APR,Flesh,Flesh,RT,OBBH,Flesh,1,0,0,1,0
A285,April,CB_APR,Flesh,RT,MEH,RT,RT,2,0,0,1,0
A286,April,CB_APR,Flesh,Flesh,Caulerpa,Caulerpa,Flesh,0,0,0,0,2
A287,April,CB_APR,Dictyota,RT,MEH,MEH,MEH,1,1,0,2,0
A288,April,CB_APR,Caulerpa,RT,RT,Caulerpa,Caulerpa,2,0,0,0,2
A289,April,CB_APR,RT,Flesh,RT,Dictyota,RT,2,1,0,0,0
A290,April,CB_APR,RT,RT,RT,ABH,RT,3,0,0,1,0
A291,April,CB_APR,NA,NA,NA,NA,NA,0,0,0,0,0
A292,April,CB_APR,RT,Flesh,RT,MEH,RT,2,0,0,1,0
A293,April,CB_APR,MEH,MEH,MEH,RT,MEH,1,0,0,3,0
A294,April,CB_APR,MEH,Flesh,MEH,OBBH,MEH,0,0,0,3,0
A295,April,CB_APR,RT,RT,RT,RT,RT,4,0,0,0,0
A296,April,CB_APR,RT,MEH,MEH,MEH,MEH,1,0,0,3,0
A297,April,CB_APR,RT,MEH,Dictyota,Dictyota,Dictyota,1,2,0,1,0
A298,April,CB_APR,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
A299,April,CB_APR,RT,Dictyota,Flesh,Dictyota,Dictyota,1,2,0,0,0
A300,April,CB_APR,RT,RT,Dictyota,RT,RT,3,1,0,0,0
A301,April,CB_APR,MEH,MEH,RT,MEH,MEH,1,0,0,3,0
A302,April,CB_APR,NA,NA,NA,NA,NA,0,0,0,0,0
A303,April,CB_APR,RT,Dictyota,RT,RT,RT,3,1,0,0,0
A304,April,CB_APR,Anemo,Flesh,Flesh,Dictyota,Flesh,0,1,0,0,0
A305,April,CB_APR,Dictyota,RT,S,RT,RT,2,1,0,0,0
A306,April,CB_APR,Dictyota,OBBH,MEH,MEH,MEH,0,1,0,3,0
A307,April,CB_APR,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
A308,April,CB_APR,Flesh,Dictyota,Flesh,Dictyota,Flesh,0,2,0,0,0
A309,April,CB_APR,OBBH,S,R,Dictyota,,0,1,0,1,0
A310,April,CB_APR,R,Flesh,Flesh,Dictyota,Flesh,0,1,0,0,0
A311,April,CB_APR,GOH,RT,GOH,Dictyota,GOH,1,1,0,2,0
A312,April,CB_APR,Flesh,RT,R,OBBH,,1,0,0,1,0
D1,December,EB_DEC,MEH,MEH,MEH,OBBH,MEH,0,0,0,4,0
D2,December,EB_DEC,MEH,MEH,MEH,OBBH,MEH,0,0,0,4,0
D3,December,EB_DEC,Flesh,OBBH,R,Flesh,Flesh,0,0,0,1,0
D4,December,EB_DEC,Dictyota,Dictyota,Flesh,Flesh,Dictyota,0,2,0,0,0
D5,December,EB_DEC,GT,POH,Anemo,BT,,0,0,1,1,0
D6,December,EB_DEC,PLH,Flesh,GT,Flesh,Flesh,0,0,0,1,0
D7,December,EB_DEC,R,Dictyota,Anemo,Dictyota,Dictyota,0,2,0,0,0
D8,December,EB_DEC,Dictyota,Dictyota,RT,R,Dictyota,1,2,0,0,0
D9,December,EB_DEC,Flesh,GT,BT,BT,BT,0,0,2,0,0
D10,December,EB_DEC,Flesh,Flesh,Dictyota,BT,Flesh,0,1,1,0,0
D11,December,EB_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D12,December,EB_DEC,GT,GT,GT,GT,GT,0,0,0,0,0
D13,December,EB_DEC,Dictyota,Dictyota,BT,RT,Dictyota,1,2,1,0,0
D14,December,EB_DEC,GT,Flesh,BT,BT,BT,0,0,2,0,0
D15,December,EB_DEC,Dictyota,Dictyota,BT,Dictyota,Dictyota,0,3,1,0,0
D16,December,EB_DEC,GT,Dictyota,BT,BT,BT,0,1,2,0,0
D17,December,EB_DEC,Dictyota,BT,Caulerpa,Flesh,,0,1,1,0,1
D18,December,EB_DEC,Flesh,Dictyota,BT,Flesh,Flesh,0,1,1,0,0
D19,December,EB_DEC,RT,Flesh,RT,Dictyota,RT,2,1,0,0,0
D20,December,EB_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D21,December,EB_DEC,POH,POH,OBBH,Dictyota,POH,0,1,0,3,0
D22,December,EB_DEC,Flesh,MEH,Flesh,Dictyota,Flesh,0,1,0,1,0
